conglomerado,vivienda,hogar,cod_persona,sexo,edad,estado_civil,dominio_geografico,ubigeo,estrato,nivel_educativo,anios_educacion,trabajo_semana_pasada,ocupacion,categoria_ocupacional,tipo_empleador,tipo_contrato,horas_trabajadas_semanal,anios_en_ocupacion,tamano_empresa,ingreso_laboral_anual
10651,13,11,2,2,70,2,2,150509,4,6.0,5,1.0,8521,3,6,7,30,5, ,10332.0
10651,55,11,1,1,52,1,2,150509,4,6.0,5,1.0,4100,4,6,2,60,8, ,29911.0
10651,55,11,2,2,38,1,2,150509,4,8.0,3,1.0,8510,3,6,2,30,16, ,14357.0
10651,69,11,1,1,48,1,2,150509,4,6.0,5,1.0,125,4,6,7,60,5, ,20664.0
10651,69,11,2,2,40,1,2,150509,4,6.0,5,1.0,9329,4,6,2,60,0, ,12263.0
10651,98,11,1,2,37,5,2,150509,4,6.0,5,1.0,4721,3,6,7,72,1, ,12563.0
10651,98,11,2,2,18,6,2,150509,4,6.0,5,1.0,4781,3,6,7,48,1, ,10332.0
11380,97,11,3,2,25,6,7,221003,7,10.0,5,1.0,4711,3,6,2,48,2, ,10527.0
11380,98,11,3,1,35,1,7,221003,7,5.0,3,1.0,126,4,6,7,42,0, ,14540.0
11380,102,11,1,1,48,1,7,221003,7,3.0,0,1.0,126,4,6,7,20,22, ,12982.0
11380,150,11,1,1,27,1,7,221003,7,5.0,1,1.0,126,4,6,7,46,10,1,14540.0
11380,173,11,1,1,71,5,7,221003,7,3.0,0,1.0,126,4,6,7,48,12, ,9331.0
15001,85,11,1,1,56,1,4,10101,4,11.0,2,1.0,8521,3,2,1,30,33,1,12189.0
15001,85,11,2,2,59,1,4,10101,4,8.0,3,1.0,8610,3,2,1,36,36,1,13094.0
15001,126,11,3,2,35,1,4,10101,4,10.0,5,1.0,7110,3,6,2,60,15, ,10137.0
15001,126,11,4,1,32,1,4,10101,4,6.0,5,1.0,4923,4,6,7,98,0, ,21482.0
15001,126,11,9,2,22,6,4,10101,4,7.0,2,1.0,8219,3,6,7,39,0, ,5982.0
15001,163,11,2,2,30,1,4,10101,4,10.0,5,1.0,8412,3,2,5,40,1, ,26852.0
15003,54,11,1,1,55,2,4,10101,4,10.0,5,1.0,8510,3,2,1,40,35, ,26931.0
15003,54,11,2,2,54,2,4,10101,4,8.0,3,1.0,8610,3,2,1,36,32, ,21401.0
15003,54,11,3,2,26,6,4,10101,4,11.0,1,1.0,8530,3,6,2,20,0,1,31741.0
15003,83,11,1,1,64,2,4,10101,4,8.0,3,1.0,8412,4,2,1,40,39, ,6367.0
15003,83,11,3,1,36,6,4,10101,4,9.0,3,1.0,8411,4,2,5,40,0, ,16039.0
15003,128,11,2,1,37,6,4,10101,4,9.0,3,1.0,5610,3,6,2,40,10, ,6252.0
15003,156,11,1,1,29,1,4,10101,4,8.0,3,1.0,4100,4,6,2,46,1, ,21401.0
15003,156,11,2,2,24,1,4,10101,4,8.0,3,1.0,4772,3,6,7,48,1,1,10700.0
15004,42,11,2,1,28,6,4,10101,4,8.0,3,1.0,4100,4,6,7,48,0, ,16626.0
15004,58,11,1,2,44,5,4,10101,4,6.0,5,1.0,5610,4,6,7,54,1, ,10907.0
15005,24,11,5,2,29,5,4,10101,4,11.0,2,1.0,8423,3,2,2,40,0,1,20689.0
15005,46,11,1,1,58,2,4,10101,4,11.0,3,1.0,8430,3,3,1,36,26, ,62491.0
15005,46,11,2,2,51,2,4,10101,4,11.0,2,1.0,8510,3,2,1,30,27, ,23413.0
15005,69,11,1,2,39,6,4,10101,4,11.0,3,1.0,8413,3,2,5,40,0,1,69327.0
15005,90,11,3,1,69,3,4,10101,4,11.0,1,1.0,8530,3,2,1,40,23, ,29400.0
15005,101,11,2,1,36,6,4,10101,4,11.0,3,1.0,8530,3,2,1,40,2, ,41998.0
15006,13,11,1,1,63,2,4,10101,4,3.0,0,1.0,4100,4,6,7,40,0, ,8025.0
15006,27,11,1,1,73,2,4,10101,4,3.0,1,1.0,4100,4,6,7,24,0,1,2994.0
15006,64,11,3,1,20,6,4,10101,4,6.0,5,1.0,4630,4,6,2,48,0, ,9821.0
15006,87,11,1,2,47,5,4,10101,4,8.0,3,1.0,8610,3,2,6,48,2,1,14253.0
15007,11,11,3,2,30,6,4,10101,4,10.0,5,1.0,6411,3,3,2,44,2, ,14844.0
15007,44,11,1,2,53,2,4,10101,4,10.0,5,1.0,8411,3,2,1,40,3, ,45894.0
15007,44,11,2,1,51,2,4,10101,4,11.0,2,1.0,8411,3,2,1,40,11, ,42770.0
15007,44,11,3,2,30,6,4,10101,4,10.0,5,1.0,4210,3,6,7,45,0, ,37424.0
15007,63,11,1,1,65,2,4,10101,4,6.0,5,1.0,7730,4,6,7,48,10, ,32513.0
15007,63,11,3,2,38,6,4,10101,4,10.0,5,1.0,8610,3,2,6,36,9, ,16760.0
15007,73,11,1,2,56,5,4,10101,4,10.0,5,1.0,8412,3,2,2,48,13, ,22085.0
15008,11,11,1,1,66,2,4,10101,4,10.0,5,1.0,8521,3,6,2,25,0, ,21482.0
15008,11,11,2,2,58,2,4,10101,4,8.0,5,1.0,8521,3,2,1,40,37, ,33852.0
15008,102,11,1,1,50,1,4,10101,4,10.0,6,1.0,8521,3,2,1,25,26, ,17801.0
15008,116,11,1,2,44,1,4,10101,4,10.0,6,1.0,8510,3,2,1,40,7, ,36265.0
15008,116,11,2,1,38,1,4,10101,4,6.0,5,1.0,729,4,6,2,56,1, ,18284.0
15008,116,11,6,1,47,5,4,10101,4,5.0,2,1.0,8411,4,2,6,60,13, ,9293.0
15008,149,11,1,1,74,2,4,10101,4,11.0,2,1.0,8530,3,2,1,40,21, ,57204.0
15008,183,11,1,2,45,5,4,10101,4,5.0,1,1.0,5610,4,6,7,42,0,1,8569.0
15009,47,11,1,2,39,5,4,10101,4,8.0,3,1.0,8010,3,5,1,36,11,1,10001.0
15009,47,11,2,2,19,6,4,10101,4,9.0,2,1.0,4771,3,6,7,36,0, ,6447.0
15009,71,11,2,2,45,1,4,10101,4,8.0,3,1.0,8521,3,2,1,40,4, ,17472.0
15009,84,11,1,1,30,1,4,10101,4,10.0,6,1.0,8411,3,2,5,54,0, ,26811.0
15010,15,11,1,2,30,1,4,10101,4,8.0,3,1.0,8610,3,2,6,30,4,1,13896.0
15010,15,11,2,1,36,1,4,10101,4,6.0,5,1.0,4100,4,6,7,48,0, ,14009.0
15010,25,11,1,2,49,5,4,10101,4,3.0,0,1.0,150,4,6,7,48,8, ,5151.0
15010,35,11,1,2,46,5,4,10101,4,4.0,0,1.0,150,4,6,7,32,11,1,7264.0
15011,6,11,1,1,62,2,4,10101,4,10.0,5,1.0,8411,3,2,1,27,39, ,35718.0
15011,6,11,3,1,28,6,4,10101,4,10.0,6,1.0,8423,3,2,2,40,5, ,36257.0
15011,26,11,1,1,33,1,4,10101,4,8.0,3,1.0,8411,3,2,2,40,0, ,30923.0
15011,26,11,2,2,34,1,4,10101,4,6.0,5,1.0,8423,3,1, ,45,8, ,18997.0
15011,65,11,2,2,54,2,4,10101,4,6.0,5,1.0,8411,4,2,6,40,18, ,9289.0
15011,65,11,3,2,37,6,4,10101,4,11.0,1,1.0,8411,3,2,5,40,1, ,88335.0
15011,104,11,1,1,48,1,4,10101,4,7.0,1,1.0,7830,4,5,2,48,0,1,17080.0
15011,104,11,2,2,44,1,4,10101,4,11.0,2,1.0,8510,3,2,1,45,5, ,33320.0
15011,104,11,3,2,26,6,4,10101,4,10.0,5,1.0,8411,3,2,6,40,0, ,42849.0
15011,121,11,2,2,34,1,4,10101,4,6.0,5,1.0,5610,4,6,7,30,4, ,9871.0
15012,4,11,2,2,40,2,4,10101,4,6.0,5,1.0,8411,4,2,2,55,0, ,10679.0
15012,45,11,1,1,46,2,4,10101,4,5.0,2,1.0,4210,4,6,7,36,0, ,11639.0
15012,59,11,1,2,39,5,4,10101,4,8.0,3,1.0,8010,3,5,2,72,2, ,16558.0
15013,1,11,3,1,36,6,4,10101,4,8.0,3,1.0,8412,3,2,5,56,1, ,16152.0
15013,32,11,2,2,29,2,4,10101,4,11.0,2,1.0,8530,3,2,6,40,5,1,9679.0
15013,44,11,3,2,19,6,4,10101,4,6.0,5,1.0,4771,3,6,7,18,0, ,9406.0
15013,78,11,3,1,24,6,4,10101,4,8.0,3,1.0,8423,3,1, ,72,4, ,26618.0
15014,39,11,1,1,56,5,4,10101,4,3.0,0,1.0,4752,4,6,7,54,12, ,8510.0
15014,68,11,1,1,44,2,4,10101,4,6.0,5,1.0,4100,4,6,7,48,0, ,18184.0
15014,68,11,2,2,37,2,4,10101,4,7.0,3,1.0,8010,3,5,2,66,0, ,16900.0
15014,68,11,3,1,19,6,4,10101,4,6.0,5,1.0,5510,3,6,7,84,0, ,2397.0
15014,82,11,1,2,31,5,4,10101,4,6.0,5,1.0,5630,3,6,7,42,3, ,36888.0
15015,2,11,1,1,35,5,4,10101,4,6.0,5,1.0,4100,4,6,7,46,0, ,11156.0
15015,15,11,1,1,38,1,4,10101,4,10.0,5,1.0,8411,3,2,6,40,5, ,14855.0
15015,68,11,1,1,57,2,4,10101,4,8.0,3,1.0,8411,3,2,1,40,18,1,15279.0
15015,68,11,2,2,42,2,4,10101,4,8.0,3,1.0,8411,3,2,1,40,12,1,6828.0
15015,68,11,6,2,69,5,4,10101,4,5.0,3,1.0,9700,6, ,7,60,8, ,1617.0
15015,107,11,1,2,45,3,4,10101,4,8.0,3,1.0,8610,4,2,1,30,12,1,23966.0
15017,2,11,1,2,65,6,4,10101,4,10.0,6,1.0,8510,3,2,1,30,36, ,22468.0
15018,44,11,2,2,48,5,4,10101,4,5.0,1,1.0,9700,6, ,7,45,0,1,6419.0
15018,88,11,3,1,26,6,4,10101,4,10.0,5,1.0,7110,3,6,2,48,0,1,11738.0
15018,109,11,2,2,28,6,4,10101,4,9.0,4,1.0,8890,3,6,7,30,0,1,4252.0
15018,153,11,2,2,48,2,4,10101,4,3.0,0,1.0,9700,6, ,7,40,5, ,2160.0
15018,173,11,1,1,76,2,4,10101,4,4.0,5,1.0,4100,4,6,7,48,0, ,8298.0
15018,173,11,3,1,48,6,4,10101,4,7.0,2,1.0,4100,4,6,7,54,0, ,7665.0
15019,20,11,2,2,65,6,4,10101,4,8.0,3,1.0,8411,3,2,1,40,20, ,17667.0
15019,20,11,3,2,64,6,4,10101,4,10.0,7,1.0,8510,3,2,1,40,20, ,21679.0
15019,89,11,1,1,61,2,4,10101,4,11.0,2,1.0,8412,3,2,1,40,35,5,66774.0
15019,89,11,3,2,25,6,4,10101,4,10.0,6,1.0,6910,3,6,4,45,1, ,12576.0
15020,7,11,1,1,27,1,4,10101,4,9.0,3,1.0,4100,4,6,7,46,0,1,20689.0
15021,1,11,1,1,28,1,4,10101,4,10.0,5,1.0,8411,3,2,5,40,0,1,15972.0
15021,1,11,2,2,29,1,4,10101,4,11.0,2,1.0,8530,3,2,2,40,0,1,26860.0
15021,36,11,1,1,48,2,4,10101,4,10.0,7,1.0,8521,3,2,1,35,20, ,29430.0
15021,36,11,2,2,40,2,4,10101,4,10.0,7,1.0,8521,3,2,2,30,0, ,27697.0
15021,47,11,2,1,40,1,4,10101,4,10.0,5,1.0,8423,3,1, ,48,8, ,15673.0
15021,104,11,1,1,36,1,4,10101,4,11.0,2,1.0,8411,3,2,2,40,0, ,13101.0
15021,104,11,2,2,30,1,4,10101,4,11.0,2,1.0,8411,3,2,5,40,1, ,26620.0
15023,6,11,1,1,37,1,4,10101,4,8.0,3,1.0,8423,3,1, ,72,16, ,15134.0
15023,34,11,1,1,32,1,4,10101,4,11.0,2,1.0,8412,3,2,6,40,5,1,31524.0
15023,34,11,2,2,29,1,4,10101,4,10.0,5,1.0,7110,3,6,2,46,8,1,23628.0
15023,59,11,1,2,30,6,4,10101,4,10.0,5,1.0,6110,3,6,2,45,2, ,12203.0
15023,59,11,3,2,24,6,4,10101,4,10.0,5,1.0,4220,3,6,7,46,0, ,12801.0
15023,83,11,1,2,63,6,4,10101,4,11.0,2,1.0,8412,3,2,2,40,0, ,29071.0
15023,83,11,2,1,26,6,4,10101,4,7.0,2,1.0,8010,4,6,7,7,2, ,4662.0
15023,83,11,3,2,24,6,4,10101,4,9.0,2,1.0,8411,4,2,5,45,0, ,12801.0
15024,69,11,1,2,26,6,4,10101,4,7.0,1,1.0,9700,6, ,7,59,0, ,8555.0
15024,98,12,1,1,36,1,4,10101,4,10.0,5,1.0,8610,3,2,1,54,6,1,47597.0
15024,123,11,4,2,24,6,4,10101,4,7.0,2,1.0,4773,3,6,7,48,1, ,10965.0
15025,28,11,1,1,40,2,4,10509,5,10.0,4,1.0,9491,3,6,7,20,6, ,9611.0
15025,65,11,2,2,59,6,4,10509,5,6.0,5,1.0,119,4,6,7,42,13, ,4165.0
15025,65,11,3,2,51,5,4,10509,5,6.0,5,1.0,9700,6, ,7,35,0,1,5346.0
15025,84,11,1,2,61,5,4,10509,5,8.0,5,1.0,8510,3,2,1,30,37,1,29795.0
15025,140,11,3,1,31,6,4,10509,5,6.0,5,1.0,4100,4,6,7,48,1, ,14056.0
15025,140,11,4,2,25,6,4,10509,5,6.0,5,1.0,8541,3,6,7,20,0,1,5346.0
15026,35,11,1,1,55,1,4,10509,5,8.0,5,1.0,8521,3,2,2,30,0,1,30866.0
15026,52,11,2,2,36,1,4,10509,5,6.0,5,1.0,1071,4,6,7,32,8,1,11138.0
15027,15,11,1,2,41,5,4,10110,5,3.0,0,1.0,150,4,6,7,42,9,1,5346.0
15027,25,11,1,2,52,5,4,10110,5,3.0,0,1.0,4721,3,6,7,60,5,1,4325.0
15027,101,11,1,1,23,1,4,10110,5,7.0,1,1.0,8010,3,6,2,72,1, ,15378.0
15028,9,11,1,2,43,5,4,10306,5,5.0,3,1.0,9700,6, ,7,54,3, ,5879.0
15028,21,11,2,1,37,5,4,10306,5,4.0,0,1.0,4220,4,6,7,48,0, ,12839.0
15028,21,11,3,1,30,5,4,10306,5,6.0,5,1.0,4100,4,6,7,45,5, ,16596.0
15028,86,11,1,1,34,1,4,10306,5,11.0,1,1.0,8411,3,2,5,40,0,1,21401.0
15029,3,11,2,1,35,5,4,10110,5,6.0,5,1.0,4290,4,6,7,46,0, ,20637.0
15029,47,11,1,1,58,2,4,10110,5,10.0,5,1.0,8412,3,2,1,40,24, ,20878.0
15029,47,11,2,2,51,2,4,10110,5,11.0,2,1.0,8510,3,2,1,30,24, ,48817.0
15029,47,11,3,1,24,6,4,10110,5,10.0,5,1.0,3510,3,3,4,40,0, ,13275.0
15029,68,11,1,2,53,3,4,10110,5,11.0,2,1.0,8510,3,2,1,50,12, ,30050.0
15029,68,11,2,2,23,6,4,10110,5,9.0,3,1.0,4771,3,6,2,42,0, ,7543.0
15030,82,11,1,2,51,1,7,10701,4,10.0,5,1.0,4730,3,6,2,48,19, ,13894.0
15030,82,11,2,1,44,1,7,10701,4,8.0,3,1.0,1104,3,6,2,48,4,1,27847.0
15031,17,11,1,1,41,5,7,10601,5,5.0,1,1.0,127,4,6,7,48,26, ,11263.0
15031,87,11,1,1,47,5,7,10601,5,4.0,0,1.0,4923,4,6,7,47,0, ,18598.0
15031,96,11,3,1,29,6,7,10601,5,9.0,3,1.0,6110,4,6,5,48,0, ,13134.0
15032,44,11,2,2,37,1,7,10701,4,8.0,3,1.0,4782,3,6,7,48,5, ,9571.0
15032,73,11,1,1,60,2,7,10701,4,3.0,2,1.0,112,4,6,7,48,40,1,5144.0
15032,87,11,1,1,64,2,7,10701,4,3.0,2,1.0,4721,3,6,7,48,10,1,5699.0
15032,87,11,3,1,41,6,7,10701,4,3.0,0,1.0,4721,3,6,7,56,15, ,8030.0
15033,37,11,1,1,69,2,7,10701,4,8.0,5,1.0,4921,4,6,7,24,2, ,7023.0
15033,37,11,2,2,61,2,7,10701,4,11.0,2,1.0,8510,3,2,1,30,33, ,24257.0
15035,18,11,2,2,38,1,7,10701,4,8.0,3,1.0,8610,3,2,1,30,1, ,22398.0
15035,88,11,1,2,73,3,7,10701,4,1.0, ,1.0,5610,4,6,7,30,0, ,1318.0
15035,133,11,1,1,69,5,7,10701,4,3.0,2,1.0,1071,3,6,7,24,5, ,8300.0
15036,8,11,1,2,40,5,7,10203,5,10.0,5,1.0,8510,3,2,5,25,0,1,7478.0
15036,8,11,2,1,19,6,7,10203,5,6.0,5,1.0,4100,4,6,7,4,0, ,419.0
15036,42,11,1,1,63,6,7,10203,5,5.0,1,1.0,150,4,6,7,48,1,1,5145.0
15036,74,11,1,1,42,2,7,10203,5,8.0,3,1.0,8610,3,2,1,42,19, ,28714.0
15036,74,11,2,2,38,2,7,10203,5,10.0,5,1.0,8610,3,2,1,48,8, ,27817.0
15037,8,11,2,2,41,2,7,10701,4,6.0,5,1.0,8521,4,2,2,40,0,1,9836.0
15038,2,12,1,1,59,2,7,10201,4,11.0,2,1.0,8510,3,2,1,40,34, ,27687.0
15038,2,12,2,2,53,2,7,10201,4,10.0,7,1.0,8510,3,2,2,30,0, ,29006.0
15038,2,22,1,2,31,1,7,10201,4,8.0,5,1.0,8521,3,2,2,30,0, ,29964.0
15038,20,11,1,1,37,1,7,10201,4,6.0,5,1.0,4661,4,6,2,24,0,1,16181.0
15038,20,11,2,2,36,1,7,10201,4,8.0,5,1.0,8510,3,2,2,25,0,1,29425.0
15038,20,11,3,1,16,6,7,10201,4,5.0,3,1.0,1071,3,6,7,12,0,1,3117.0
15038,55,11,2,1,57,1,7,10201,4,1.0, ,1.0,112,4,6,7,27,30, ,7014.0
15038,90,11,1,1,43,1,7,10201,4,10.0,6,1.0,8510,3,2,1,40,23,1,5214.0
15038,90,11,2,2,43,1,7,10201,4,8.0,5,1.0,8412,3,2,5,40,0, ,32002.0
15038,108,11,1,1,51,2,7,10201,4,10.0,6,1.0,8610,3,2,1,36,13,1,35957.0
15038,108,11,2,2,54,2,7,10201,4,11.0,2,1.0,8510,3,2,1,30,30,1,14023.0
15038,108,11,3,1,22,6,7,10201,4,10.0,5,1.0,8530,3,2,5,45,0, ,21335.0
15038,126,11,3,1,43,6,7,10201,4,8.0,3,1.0,8411,3,2,5,40,1,1,17080.0
15038,126,11,4,2,38,5,7,10201,4,10.0,6,1.0,8521,3,2,2,24,0,1,23972.0
15039,70,11,1,2,35,1,7,10201,4,3.0,0,1.0,8411,4,2,5,32,0, ,11024.0
15039,70,11,3,1,16,6,7,10201,4,5.0,2,1.0,5610,4,6,7,48,0, ,10101.0
15040,46,12,1,1,50,2,7,10307,5,6.0,5,1.0,8411,4,2,1,40,0, ,23316.0
15040,46,12,3,2,28,6,7,10307,5,9.0,5,1.0,9412,3,6,2,40,0, ,14339.0
15040,110,11,1,1,37,1,7,10307,5,6.0,5,1.0,3100,4,6,7,51,7, ,18598.0
15040,132,11,1,2,34,5,7,10307,5,6.0,5,1.0,8412,3,2,5,40,0,1,6025.0
15041,4,11,3,1,25,6,7,10502,5,10.0,5,1.0,8411,3,2,5,40,0,1,21401.0
15041,28,11,3,1,25,6,7,10502,5,9.0,3,1.0,4771,3,6,7,20,1, ,4809.0
15041,49,11,2,2,36,1,7,10502,5,3.0,0,1.0,127,4,6,7,24,17, ,3727.0
15041,49,11,3,1,19,6,7,10502,5,6.0,5,1.0,127,4,6,7,24,3,1,6432.0
15041,96,11,1,1,39,1,7,10502,5,6.0,5,1.0,127,4,6,7,48,15, ,10700.0
15041,96,11,2,2,28,1,7,10502,5,6.0,5,1.0,5610,4,6,7,54,1, ,6432.0
15042,39,11,1,2,41,5,7,10701,4,5.0,2,1.0,5510,4,6,7,18,0,1,5715.0
15042,39,11,2,1,16,6,7,10701,4,5.0,4,1.0,5610,3,6,7,11,0,1,2338.0
15042,140,11,1,1,52,1,7,10701,4,6.0,5,1.0,8412,4,2,5,40,0, ,37336.0
15044,2,11,3,1,65,1,7,10701,4,11.0,2,1.0,8521,3,2,1,40,24, ,9137.0
15044,73,11,1,2,43,5,7,10701,4,6.0,5,1.0,9499,3,6,7,30,0, ,4268.0
15045,8,11,1,2,32,5,7,10201,4,6.0,5,1.0,122,4,6,7,66,7, ,5749.0
15045,18,11,1,1,38,1,7,10201,4,5.0,1,1.0,112,4,6,7,48,20, ,14006.0
15045,29,11,1,1,35,1,7,10201,4,6.0,5,1.0,113,4,6,7,48,15,1,11150.0
15045,29,11,2,2,35,1,7,10201,4,8.0,5,1.0,8521,3,2,2,30,0,1,35636.0
15045,59,11,1,1,35,5,7,10201,4,6.0,5,1.0,4100,4,6,7,46,0, ,19448.0
15045,69,11,1,1,60,1,7,10201,4,1.0, ,1.0,112,4,6,7,55,2,1,7426.0
15046,2,11,1,2,41,3,7,10701,4,4.0,0,1.0,8129,4,5,2,48,1,1,10452.0
15046,110,11,1,2,53,5,7,10701,4,10.0,7,1.0,8521,3,2,1,35,23, ,21445.0
15048,2,11,1,1,41,2,7,10401,5,11.0,2,1.0,8412,3,2,6,40,1, ,41560.0
15048,2,11,2,2,32,2,7,10401,5,8.0,3,1.0,8610,3,2,6,40,12, ,11978.0
15048,15,22,2,2,24,1,7,10401,5,6.0,5,1.0,122,4,6,7,40,0, ,7316.0
15048,51,11,2,1,33,5,7,10401,5,10.0,5,1.0,4100,4,6,7,48,0, ,5203.0
15048,76,11,2,2,17,6,7,10401,5,6.0,5,1.0,5610,3,6,7,66,0, ,6049.0
15048,99,11,1,1,30,1,7,10401,5,7.0,1,1.0,8510,4,2,1,40,7,1,15789.0
15049,12,11,1,1,30,1,7,10201,4,4.0,0,1.0,4100,4,6,7,40,0, ,13987.0
15049,17,11,1,1,43,5,7,10201,4,6.0,5,1.0,4922,4,6,7,56,0, ,16060.0
15049,24,11,2,2,63,1,7,10201,4,1.0, ,1.0,4771,3,6,7,24,0, ,2849.0
15049,26,11,2,1,18,6,7,10201,4,6.0,5,1.0,8790,4,2,5,48,0,1,5324.0
15049,32,11,1,1,69,1,7,10201,4,3.0,1,1.0,112,4,6,7,32,54, ,6820.0
15050,74,11,2,2,33,1,7,10701,4,8.0,3,1.0,8610,3,2,1,36,0, ,11782.0
15050,97,11,1,2,38,1,7,10701,4,11.0,3,1.0,8521,3,2,1,30,0, ,33724.0
15050,97,11,2,1,43,1,7,10701,4,10.0,5,1.0,8521,3,2,2,30,0, ,29336.0
15050,142,11,1,2,52,5,7,10701,4,8.0,5,1.0,8510,3,2,1,30,21,1,12804.0
15050,188,11,1,1,25,1,7,10701,4,8.0,3,1.0,6411,3,3,2,66,0, ,8777.0
15050,188,11,2,2,23,1,7,10701,4,8.0,3,1.0,6419,3,6,2,51,1, ,11903.0
15051,40,11,1,1,51,2,7,10701,4,4.0,0,1.0,127,4,6,7,48,30, ,9871.0
15051,40,11,3,2,24,6,7,10701,4,7.0,3,1.0,4782,3,6,7,22,0, ,1818.0
15051,90,11,1,1,64,1,7,10701,4,4.0,5,1.0,4100,4,6,7,53,5, ,14028.0
15051,106,11,1,1,37,1,7,10701,4,3.0,0,1.0,112,4,6,7,32,25, ,5975.0
15051,106,11,4,1,15,6,7,10701,4,3.0,0,1.0,1071,3,6,7,36,0, ,8313.0
15052,12,11,1,1,37,2,7,10701,4,6.0,5,1.0,122,4,6,7,24,8,1,7072.0
15052,23,11,1,1,66,2,7,10701,4,4.0,5,1.0,3600,4,3,1,40,30,1,17171.0
15052,53,11,2,1,43,1,7,10701,4,8.0,3,1.0,8411,3,2,6,40,4,1,5543.0
15052,64,11,1,2,35,5,7,10701,4,5.0,3,1.0,5610,4,6,7,56,0, ,13978.0
15052,64,11,2,2,18,6,7,10701,4,7.0,2,1.0,9700,6, ,7,70,0, ,2651.0
15053,60,11,2,2,64,2,7,10701,4,10.0,5,1.0,6512,3,6,2,36,14,1,4072.0
15053,106,11,1,1,35,1,7,10701,4,10.0,5,1.0,8411,3,2,6,40,9, ,12037.0
15053,106,11,2,2,27,1,7,10701,4,9.0,3,1.0,8411,3,2,5,40,0, ,15990.0
15054,12,11,1,1,64,2,7,10601,5,4.0,5,1.0,4100,4,6,7,16,10, ,8016.0
15054,12,11,3,1,34,6,7,10601,5,8.0,3,1.0,4922,3,6,2,54,1, ,16928.0
15054,124,11,3,2,19,6,7,10601,5,7.0,1,1.0,9200,3,6,7,72,1, ,9571.0
15054,144,11,2,2,24,2,7,10601,5,5.0,2,1.0,5610,3,6,7,78,0,1,12951.0
15054,161,11,1,2,25,5,7,10601,5,8.0,3,1.0,4772,3,6,7,48,1, ,9032.0
15055,17,11,1,2,56,5,7,10702,5,6.0,5,1.0,9700,6, ,7,54,4, ,6613.0
15055,37,11,2,1,21,6,7,10702,5,6.0,5,1.0,4630,4,6,7,56,0, ,13285.0
15055,96,22,1,1,43,1,7,10702,5,5.0,3,1.0,112,4,6,7,48,23, ,8055.0
15056,28,11,2,2,48,1,7,10703,5,4.0,0,1.0,127,4,6,7,24,18,1,2662.0
15056,42,11,3,1,26,6,7,10703,5,4.0,0,1.0,4100,4,6,7,48,0, ,7743.0
15056,101,11,2,1,29,1,7,10703,5,6.0,5,1.0,729,4,6,2,56,0, ,15714.48046875
15056,130,11,1,1,42,5,7,10703,5,3.0,0,1.0,127,4,6,7,48,24, ,4840.0
15057,44,11,1,1,35,5,7,10201,4,10.0,6,1.0,8521,3,2,1,30,4,5,14428.0
15057,137,11,1,1,57,2,7,10201,4,6.0,5,1.0,8413,4,2,1,40,10, ,16039.0
15058,68,11,1,1,30,6,7,10706,5,8.0,3,1.0,5610,3,6,7,72,0, ,13978.0
15058,68,11,2,2,61,5,7,10706,5,3.0,2,1.0,9700,6, ,7,36,2,1,2169.0
15059,66,11,1,1,44,1,7,10312,5,6.0,5,1.0,4100,4,6,7,48,0, ,20755.0
15059,90,11,2,1,17,6,7,10312,5,5.0,4,1.0,150,4,6,7,8,0,1,1816.0
15060,73,11,1,1,52,2,7,10205,5,7.0,1,1.0,8521,4,2,1,30,15,1,11863.0
15061,46,11,3,2,29,6,7,10201,4,8.0,3,1.0,8610,3,2,5,45,0, ,16018.0
15061,88,11,1,1,51,2,7,10201,4,9.0,2,1.0,8530,4,2,1,40,3,1,7491.0
15061,88,11,2,2,49,2,7,10201,4,8.0,5,1.0,8521,3,2,1,30,0, ,17080.0
15061,130,11,1,1,39,1,7,10201,4,6.0,5,1.0,4210,4,6,2,60,12, ,12166.0
15061,130,11,2,2,45,1,7,10201,4,10.0,5,1.0,8510,3,2,2,30,0, ,30744.0
15062,14,11,3,2,23,6,7,10203,5,8.0,3,1.0,8411,3,2,5,8,0, ,12818.0
15063,18,11,1,2,61,2,7,10601,5,8.0,3,1.0,8610,3,2,1,36,34, ,14612.0
15063,37,11,1,1,60,1,7,10601,5,3.0,3,1.0,150,4,6,7,24,5, ,5706.0
15063,122,11,2,1,19,6,7,10601,5,6.0,5,1.0,127,4,6,7,40,1, ,14006.0
15064,16,11,3,1,14,6,7,10307,5,5.0,2,1.0,150,4,6,7,16,1,1,5370.0
15065,8,11,1,2,26,6,7,10201,4,6.0,5,1.0,4721,3,6,7,60,0, ,8555.0
15065,25,11,1,2,44,5,7,10201,4,8.0,3,1.0,8610,3,2,6,40,0,1,10483.0
15065,59,11,1,1,40,1,7,10201,4,6.0,5,1.0,9000,3,6,7,42,0, ,13978.0
15065,76,13,1,1,38,1,7,10201,4,5.0,3,1.0,2511,4,6,7,58,0,1,14145.0
15065,76,23,1,2,36,5,7,10201,4,5.0,3,1.0,5610,4,6,7,32,0, ,4519.0
15065,76,33,1,1,30,1,7,10201,4,4.0,0,1.0,5610,4,6,7,84,0, ,17171.0
15065,76,33,2,2,32,1,7,10201,4,6.0,5,1.0,5610,3,6,7,44,0, ,9430.0
15065,94,12,1,1,22,1,7,10201,4,6.0,5,1.0,112,4,6,7,32,4, ,8073.0
